id,owner,priority,target_gate,component,outcome,acceptance_evidence,consumer_dependency,commitment,delivery_status,issue,owner_surface,predecessors,normative_source,source_repositories
IDR-001,Identus SDK-Rust,P0,R0,Governance,"Create or identify the SDK-Rust repository, charter, maintainers, contribution rules, and release authority","Machine-checked local governance/API inventory plus public repository record, protected controls, DCO, security policy, and human release owner","All downstream identity work",Foundation,in_progress,#4,governance,none,"Hyperledger and Identus governance",sdk-rust
IDR-002,Identus SDK-Rust,P0,R0,Architecture,"Publish the generic SSI scope and forbidden Midnight/Oxid dependencies","Accepted architecture record and automated dependency checks","midnight-identity and Oxid architecture",Foundation,delivered,#22,architecture,IDR-001,"SDK repository boundary",sdk-rust;neoprism;midnight-identity;lace-id-portal;oxid
IDR-003,Identus SDK-Rust,P0,R0,Targets,"Define MSRV, mobile, desktop, server, WASM, FFI, feature, binary-size, and build-time support matrix","CI matrix and published compatibility policy","Oxid physical mobile targets",Foundation,delivered,#22,target-policy,IDR-001;IDR-002,"SDK compatibility policy",sdk-rust;neoprism;lace-id-portal;oxid
IDR-004,Identus SDK-Rust,P0,R0,Cryptography,"Provide policy-neutral key, algorithm, JWK, JWS, COSE, CBOR, hashing, randomness, and secret-provider interfaces","Standards vectors, misuse-resistant API review, fuzzing","All SSI formats and DID methods",Foundation,in_progress,#95,crypto-jose,IDR-002;IDR-003,"RFC 7515; RFC 8725; JOSE, COSE, CBOR, algorithm and key standards pinned by child slices",sdk-rust;apollo;neoprism;midnight-identity;lace-id-portal;oxid
IDR-005,Identus SDK-Rust,P0,R0,DID Core,"Provide DID, DID URL, document, verification relationship, service, resolution result, and metadata types","W3C DID Core vectors and negative grammar tests","MID-001 OX-0047",Foundation,in_progress,#5,did-core,IDR-002;IDR-003;IDR-004,"W3C DID Core 1.0",sdk-rust;neoprism;midnight-identity;lace-id-portal;oxid
IDR-006,Identus SDK-Rust,P0,R0,DID ports,"Provide resolver, registrar, method, cache, clock, and dereferencing traits without choosing a VDR","Two method implementations and mock conformance","midnight-identity did:midnight",Foundation,specified,#5,did-ports,IDR-005,"W3C DID Resolution and DID method contracts",sdk-rust;neoprism;midnight-identity;lace-id-portal;oxid
IDR-007,Identus SDK-Rust,P0,R0,Credential core,"Provide format-neutral credential, claim, proof, holder-binding, schema, status, and private-material handle types","SD-JWT VC and Midnight adapters prove the model","MID-005 OX-0040",Foundation,specified,#6,credential-core,IDR-002;IDR-003;IDR-004,"W3C VC Data Model 2.0 plus format-neutral SDK contract",midnight-identity;lace-id-portal;oxid
IDR-008,Identus SDK-Rust,P0,R0,Presentation core,"Provide request, query, disclosure option, candidate, presentation, receipt-input, and protocol-state types","OID4VP and Midnight presentation adapters prove the model","MID-007 OX-0043",Foundation,specified,#85,presentation-core,IDR-007,"OpenID4VP and format-neutral SDK contract",midnight-identity;lace-id-portal;oxid
IDR-009,Identus SDK-Rust,P0,R0,Verification,"Provide structural, issuer/key, proof, temporal, status, schema, and evidence reports without product trust decisions","Golden reports cover valid-untrusted and invalid-trusted evidence","Oxid trust policy",Foundation,specified,#6,verification,IDR-004;IDR-005;IDR-007,"Format-neutral staged verification contract",midnight-identity;lace-id-portal;oxid
IDR-010,Identus SDK-Rust,P0,R0,Storage ports,"Provide policy-neutral secret, credential, DID, protocol-state, and status-cache storage traits","In-memory and encrypted consumer adapters pass conformance","Oxid encrypted storage",Foundation,specified,#91,storage-ports,IDR-005;IDR-007;IDR-008,"SDK storage port contract",midnight-identity;lace-id-portal;oxid
IDR-011,Identus SDK-Rust,P0,R0,Release,"Publish first immutable consumable candidate with documentation, SBOM, provenance, changelog, and migration policy","midnight-identity and Oxid build from immutable revision","All R1/R2 identity delivery",Foundation,queued,#20,release-candidate,IDR-001;IDR-002;IDR-003;IDR-004;IDR-005;IDR-006;IDR-007;IDR-008;IDR-009;IDR-010,"SDK pre-1.0 release policy",sdk-rust;midnight-identity;oxid
IDR-020,Identus SDK-Rust,P0,R2,SD-JWT,"Implement RFC 9901 SD-JWT issuance helpers, presentation, key binding, and verification","RFC vectors, negative disclosure, key-binding, and fuzz tests","IDR-021 and Oxid HAIP",Committed,queued,#20,sd-jwt,IDR-004;IDR-007;IDR-008;IDR-009,"RFC 9901",oxid
IDR-021,Identus SDK-Rust,P0,R2,SD-JWT VC,"Implement the pinned SD-JWT VC draft/profile with exact version metadata","IETF/OpenID vectors and two independent counterparts","Oxid OID4VCI/OID4VP certification",Committed,queued,#20,sd-jwt-vc,IDR-020,"SD-JWT VC profile version pinned by component issue",lace-id-portal;oxid
IDR-022,Identus SDK-Rust,P0,R2,mdoc,"Implement ISO mdoc data, device authentication, session transcript, presentation, and lifecycle primitives","Applicable ISO/IEC TS 18013-6 tests","Oxid mdoc wallet profile",Committed,queued,#20,mdoc,IDR-004;IDR-007;IDR-008;IDR-009,"ISO/IEC 18013-5 and applicable ISO/IEC TS 18013-6 profile",oxid
IDR-023,Identus SDK-Rust,P0,R2,OID4VCI,"Implement OpenID4VCI 1.0 Final wallet protocol engine for primary formats","Official OpenID plan passes through a reference harness","OX-0050",Committed,in_progress,#121,oid4vci,IDR-004;IDR-005;IDR-007;IDR-009,"OpenID4VCI 1.0 Final",lace-id-portal;oxid
IDR-024,Identus SDK-Rust,P0,R2,OID4VP,"Implement OpenID4VP 1.0 Final, DCQL, signed requests, and response modes","Official OpenID plan passes through a reference harness","OX-0051",Committed,queued,#20,oid4vp,IDR-004;IDR-005;IDR-007;IDR-008;IDR-009,"OpenID4VP 1.0 Final",lace-id-portal;oxid
IDR-025,Identus SDK-Rust,P0,R2,HAIP,"Implement OpenID4VC HAIP 1.0 constraints for SD-JWT VC and mdoc","HAIP conformance profiles pass","OX-0050 OX-0051",Committed,queued,#20,haip,IDR-021;IDR-022;IDR-023;IDR-024,"OpenID4VC HAIP 1.0 Final",lace-id-portal;oxid
IDR-026,Identus SDK-Rust,P0,R2,Digital Credentials API,"Implement OpenID4VP DC API payload/origin/expected_origins semantics without owning platform invocation UI","OpenID vectors and malicious-origin tests","OX-0052",Committed,queued,#20,digital-credentials-api,IDR-024,"OpenID4VP Digital Credentials API profile pinned by component issue",oxid
IDR-027,Identus SDK-Rust,P0,R2,Status,"Implement Bitstring Status List 1.0 and generic status-result/cache semantics","W3C vectors, size limits, privacy-safe error tests","OX-0042 OX-0056",Committed,queued,#20,status,IDR-007;IDR-009;IDR-010,"W3C Bitstring Status List 1.0",midnight-identity;lace-id-portal;oxid
IDR-028,Identus SDK-Rust,P1,R2,VCDM 2.0,"Implement Verifiable Credentials Data Model 2.0 parsing, validation, and supported securing adapters","W3C vectors and independent implementation interop","OX-0055",Planned,queued,#20,vcdm,IDR-004;IDR-005;IDR-007;IDR-009,"W3C Verifiable Credentials Data Model 2.0",lace-id-portal;oxid
IDR-029,Identus SDK-Rust,P1,R2,Data Integrity,"Implement selected Data Integrity cryptosuites as independently reviewable feature modules","Cryptosuite vectors, review, and dependency-cone evidence","IDR-028",Planned,queued,#20,data-integrity,IDR-004;IDR-028,"W3C Verifiable Credential Data Integrity 1.0 and selected cryptosuites",lace-id-portal;oxid
IDR-030,Identus SDK-Rust,P1,R2,Trust evidence,"Provide trust-list, issuer/verifier metadata, attestation, assurance, and evidence-source types/ports without allow/deny policy","Two trust-source adapters and missing/stale evidence tests","Oxid/EUDI policy",Planned,queued,#20,trust-evidence,IDR-005;IDR-007;IDR-009;IDR-010,"Trust evidence profiles pinned by component issue",lace-id-portal;oxid
IDR-031,Identus SDK-Rust,P1,R2,SIOPv2,"Provide the pinned SIOPv2 profile only for committed product journeys","OpenID vectors and migration/deprecation statement","Oxid compatibility journey",Conditional,conditional,#20,siopv2,IDR-004;IDR-005;IDR-009,"SIOPv2 profile version pinned by component issue",lace-id-portal;oxid
IDR-040,Identus SDK-Rust,P1,R3,DID methods,"Provide reusable did:key, did:jwk, did:web, did:peer, and did:prism modules based on market scope","Method vectors, resolver conformance, interoperability matrix","Oxid non-Midnight identities",Planned,queued,#20,did-methods,IDR-004;IDR-005;IDR-006,"Individual DID method specifications pinned by child issues",neoprism;midnight-identity;oxid
IDR-041,Identus SDK-Rust,P1,R3,DIDComm,"Implement DIDComm Messaging 2.1 pack/unpack, routing, attachment safety, and protocol message foundations","DIF vectors and two independent implementations","OX-0058",Conditional,conditional,#20,didcomm,IDR-004;IDR-005;IDR-006;IDR-010,"DIDComm Messaging 2.1",oxid
IDR-042,Identus SDK-Rust,P2,R3,Presentation Exchange,"Implement DIF Presentation Exchange 2.1.1 as a compatibility module outside primary DCQL flow","Ratified-version fixtures and interop","OX-0057",Conditional,conditional,#20,presentation-exchange,IDR-007;IDR-008;IDR-009,"DIF Presentation Exchange 2.1.1",lace-id-portal;oxid
IDR-043,Identus SDK-Rust,P2,R3,Open Badges,"Implement reusable Open Badges 3.0 credential semantics for holder/displayer use","1EdTech fixtures","OX-0049",Conditional,conditional,#20,open-badges,IDR-007;IDR-008;IDR-009,"1EdTech Open Badges 3.0",oxid
IDR-044,Identus SDK-Rust,P2,R3,Bindings,"Publish minimal UniFFI/WASM bindings for generic SSI consumers without server-only features","Swift/Kotlin/WASM sample apps and ABI tests","Oxid or ecosystem consumers",Planned,queued,#20,bindings,IDR-003;IDR-004;IDR-005;IDR-006;IDR-007;IDR-008;IDR-009,"SDK FFI and WASM compatibility policy",apollo;midnight-identity;lace-id-portal;oxid
IDR-050,Identus SDK-Rust,P3,R5,AnonCreds,"Implement ledger-agnostic AnonCreds behind an isolated feature after funded demand","AnonCreds vectors, revocation, privacy, VDR interop","OX-0059",Conditional,conditional,#20,anoncreds,IDR-004;IDR-005;IDR-006;IDR-007;IDR-008;IDR-009;IDR-010,"AnonCreds specification pinned by component issue",oxid
IDR-051,Identus SDK-Rust,P3,R5,KERI ACDC,"Evaluate and, if approved, implement KERI/ACDC as an isolated identifier/credential portfolio","Two implementation interop, security review, TCO decision","OX-0060",Conditional,conditional,#20,keri-acdc,IDR-004;IDR-005;IDR-006;IDR-007;IDR-008;IDR-009;IDR-010,"KERI and ACDC specifications pinned after portfolio approval",oxid
