id,section,relevance,status,implementation_paths,spec_paths,test_paths,limitation,provenance,followup_issue
credential-offer,4.1,required,implemented,crates/oid4vci/src/transport.rs;crates/oid4vci/src/semantic.rs;crates/oid4vci/src/grants.rs,openspec/specs/oid4vci-credential-offer/spec.md,crates/oid4vci/tests/credential_offer_transport.rs;crates/oid4vci/tests/credential_offer_semantics.rs;crates/oid4vci/tests/credential_offer_grants.rs,Bounded by-value/reference parsing and grant semantics only; fetching origin trust and product flow selection remain external.,sdk-authored,none
credential-offer-endpoint-response,4.2,out-of-scope,unsupported,none,none,none,Issuer-facing Credential Offer Endpoint response behavior is outside the bounded wallet core.,not-applicable,none
authorization-request,5.1,required,partial,crates/oid4vci/src/authorization_request_input.rs;crates/oid4vci/src/authorization_request.rs,openspec/specs/oid4vci-authorization-request-input/spec.md;openspec/specs/oid4vci-authorization-request/spec.md,crates/oid4vci/tests/authorization_request_input.rs;crates/oid4vci/tests/authorization_request.rs,Authorization Details plus PKCE S256 are covered; scope PAR browser transport and alternate response modes are unsupported.,sdk-authored,none
authorization-response,5.2-5.3,required,implemented,crates/oid4vci/src/authorization_response.rs,openspec/specs/oid4vci-authorization-response/spec.md,crates/oid4vci/tests/authorization_response.rs,Query-mode success/error correlation only; callback routing fragments form_post JARM browser and trust remain external.,sdk-authored,none
pre-authorized-token-request,6.1,required,implemented,crates/oid4vci/src/pre_authorized_token_request.rs;crates/oid4vci/src/transaction_code_input.rs,openspec/specs/oid4vci-pre-authorized-token-request/spec.md;openspec/specs/oid4vci-transaction-code-input/spec.md,crates/oid4vci/tests/pre_authorized_token_request.rs;crates/oid4vci/tests/transaction_code_input.rs,Unauthenticated deterministic request construction only; HTTP token trust storage and retries remain external.,sdk-authored,none
authorization-code-token-request,6.1,required,implemented,crates/oid4vci/src/authorization_code_token_request.rs,openspec/specs/oid4vci-authorization-code-token-request/spec.md,crates/oid4vci/tests/authorization_code_token_request.rs,Public-client unauthenticated profile only; confidential-client authentication DPoP and HTTP remain unsupported.,sdk-authored,none
pre-authorized-token-response-binding,6.2-6.3,required,implemented,crates/oid4vci/src/pre_authorized_token_http_response.rs;crates/oid4vci/src/pre_authorized_token_request.rs,openspec/specs/oid4vci-pre-authorized-token-response/spec.md,crates/oid4vci/tests/pre_authorized_token_http_response.rs,Caller supplies extracted HTTP metadata/body; transport provenance authenticated-client behavior token trust storage and retries remain external.,sdk-authored,none
authorization-code-token-response-binding,6.2-6.3,required,implemented,crates/oid4vci/src/authorization_code_token_http_response.rs,openspec/specs/oid4vci-authorization-code-token-response/spec.md,crates/oid4vci/tests/authorization_code_token_http_response.rs,Caller supplies already-extracted HTTP metadata/body; transport provenance token validity storage and retries remain external.,sdk-authored,none
token-authorization-details,6.2,required,implemented,crates/oid4vci/src/token_response.rs;crates/oid4vci/src/authorization_code_token_correlation.rs,openspec/specs/oid4vci-token-authorization-details/spec.md,crates/oid4vci/tests/token_authorization_details.rs;crates/oid4vci/tests/authorization_code_token_correlation.rs,Recognized openid_credential dataset correlation only; unknown detail types stay bounded and non-authoritative.,sdk-authored,none
nonce-request,7.1,adjacent,implemented,crates/oid4vci/src/credential_nonce_request.rs,openspec/specs/oid4vci-nonce-request/spec.md,crates/oid4vci/tests/credential_nonce_request.rs,Transport-neutral request metadata only; HTTP DPoP endpoint trust and nonce lifecycle remain external.,sdk-authored,none
nonce-response,7.2,adjacent,implemented,crates/oid4vci/src/credential_nonce_response.rs;crates/oid4vci/src/credential_nonce_http_response.rs,openspec/specs/oid4vci-credential-nonce-response-core/spec.md;openspec/specs/oid4vci-nonce-http-response/spec.md,crates/oid4vci/tests/credential_nonce_response_core.rs;crates/oid4vci/tests/credential_nonce_http_response.rs,Bounded response syntax and HTTP metadata only; freshness replay and proof lifecycle remain external.,sdk-authored,none
proof-of-possession,8.1,required,partial,crates/oid4vci/src/jwt_credential_request.rs,openspec/specs/oid4vci-proof-jwt/spec.md;openspec/specs/oid4vci-jwt-credential-request/spec.md,crates/oid4vci/tests/jwt_credential_request.rs,JWT proof values are supported; di_vp attestation key-attestation policy and proof verification remain outside this crate.,sdk-authored,none
credential-request,8.2,required,partial,crates/oid4vci/src/jwt_credential_request.rs;crates/oid4vci/src/authorization_code_token_correlation.rs,openspec/specs/oid4vci-jwt-credential-request/spec.md,crates/oid4vci/tests/jwt_credential_request.rs;crates/oid4vci/tests/authorization_code_credential_request.rs,Unencrypted JWT-proof requests by configuration or authorized identifier only; format-specific and encrypted requests are excluded.,sdk-authored,none
credential-response,8.3,required,implemented,crates/oid4vci/src/immediate_credential_response.rs;crates/oid4vci/src/credential_endpoint_http_response.rs;crates/oid4vci/src/immediate_credential_http_response.rs,openspec/specs/oid4vci-credential-endpoint-response/spec.md;openspec/specs/oid4vci-immediate-credential-response-core/spec.md,crates/oid4vci/tests/credential_endpoint_http_response.rs;crates/oid4vci/tests/immediate_credential_response_core.rs;crates/oid4vci/tests/immediate_credential_http_response.rs,Unencrypted bounded JSON and request lineage only; credential format verification trust notification and storage remain external.,sdk-authored,none
credential-error-response,8.3.1,required,implemented,crates/oid4vci/src/credential_error_response.rs;crates/oid4vci/src/credential_error_http_response.rs,openspec/specs/oid4vci-credential-error-response-core/spec.md;openspec/specs/oid4vci-credential-error-http-response/spec.md,crates/oid4vci/tests/credential_error_response_core.rs;crates/oid4vci/tests/credential_error_http_response.rs,Payload-error vocabulary only; RFC 6750 challenges and remediation/product policy remain external.,sdk-authored,none
deferred-credential-request,9.1,required,implemented,crates/oid4vci/src/deferred_credential_request.rs,openspec/specs/oid4vci-deferred-credential-request/spec.md,crates/oid4vci/tests/deferred_credential_request.rs,Request construction and exact authority lineage only; scheduling polling and HTTP remain external.,sdk-authored,none
deferred-credential-response,9.2,required,implemented,crates/oid4vci/src/deferred_credential_response.rs;crates/oid4vci/src/deferred_credential_http_response.rs;crates/oid4vci/src/deferred_credential_endpoint_response.rs,openspec/specs/oid4vci-deferred-credential-response-core/spec.md;openspec/specs/oid4vci-deferred-credential-http-response/spec.md,crates/oid4vci/tests/deferred_credential_response_core.rs;crates/oid4vci/tests/deferred_credential_http_response.rs;crates/oid4vci/tests/deferred_credential_endpoint_response.rs,Bounded issued/pending classification and transaction correlation only; interval timers retry invalidation and transport remain external.,sdk-authored,none
deferred-credential-error-response,9.3,required,implemented,crates/oid4vci/src/deferred_credential_error_http_response.rs;crates/oid4vci/src/deferred_credential_endpoint_response.rs,openspec/specs/oid4vci-deferred-credential-error-http-response/spec.md,crates/oid4vci/tests/deferred_credential_error_http_response.rs;crates/oid4vci/tests/deferred_credential_endpoint_response.rs,Error classification exposes stop guidance as data only; lifecycle effects and product remediation remain external.,sdk-authored,none
encrypted-credential-exchange,10,out-of-scope,unsupported,none,none,none,Encrypted Credential Requests and Responses are explicitly outside the current M4 unencrypted wallet-core profile.,not-applicable,none
notification-endpoint,11,out-of-scope,unsupported,none,none,none,Notification Request and response behavior is outside the current M4 wallet-core profile.,not-applicable,none
client-metadata,12.1,adjacent,unsupported,none,none,none,Client Metadata publication/retrieval and Credential Offer Endpoint advertisement are not implemented.,not-applicable,none
